Known As,Full Name,Overall,Potential,Value,Positions Played,Best Position,Nationality,Image Link,Age,Height(in cm),Weight(in kg),TotalStats,BaseStats,Club Name,Wage,Release Clause,Club Position,Contract Until,Club Jersey Number,Joined On,On Loan,Preferred Foot,Weak Foot Rating,Skill Moves,International Reputation,National Team Name,National Team Image Link,National Team Position,National Team Jersey Number,Attacking Work Rate,Defensive Work Rate,Pace Total,Shooting Total,Passing Total,Dribbling Total,Defending Total,Physicality Total,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,Freekick Accuracy,LongPassing,BallControl,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,Standing Tackle,Sliding Tackle,Goalkeeper Diving,Goalkeeper Handling, GoalkeeperKicking,Goalkeeper Positioning,Goalkeeper Reflexes,ST Rating,LW Rating,LF Rating,CF Rating,RF Rating,RW Rating,CAM Rating,LM Rating,CM Rating,RM Rating,LWB Rating,CDM Rating,RWB Rating,LB Rating,CB Rating,RB Rating,GK Rating
Diegildo Ramos,Diego Hugo Ramos Calado,74,74,4099999,"ST,RM",ST,Brazil,https://cdn.sofifa.net/players/230/449/23_60.png,30,185,80,1706,341,Flamengo,34000,7400000,SUB,2025,10,2022,-,Left,3,2,1,-,https://cdn.sofifa.net/flags/br.png,-,-,Medium,Medium,30,79,67,67,28,70,62,74,82,68,82,70,77,76,66,74,27,32,44,75,30,88,34,50,82,81,72,12,84,66,78,75,22,28,20,12,7,6,14,11,74,66,70,70,70,66,70,66,67,66,46,51,46,43,47,43,20
Arbilla,Anaitz Arbilla Zabala,74,74,1100000,CB,CB,Spain,https://cdn.sofifa.net/players/199/986/23_60.png,35,178,76,1969,398,SD Eibar,7000,1800000,CB,2023,23,2016,-,Right,4,2,1,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,High,53,57,70,66,73,79,75,40,71,70,48,63,82,83,74,71,44,60,59,73,67,84,86,71,82,72,82,77,57,57,47,66,68,75,72,14,8,15,13,9,65,62,62,62,62,62,65,66,70,66,72,74,72,72,74,72,20
T. Nguen,Tokmac Chol Nguen,74,74,4200000,"CAM,LM",RW,Norway,https://cdn.sofifa.net/players/204/850/23_60.png,28,174,60,1835,406,Ferencvárosi TC,1000,9200000,CAM,2025,10,2019,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/no.png,-,-,High,Medium,87,71,65,79,45,59,59,77,46,71,55,80,47,52,65,74,90,84,88,73,85,62,70,71,54,75,56,45,67,66,54,72,44,47,37,9,7,8,8,9,72,74,73,73,73,74,74,74,70,74,63,61,63,60,54,60,17
M. Nastasić,Matija Nastasić,74,74,3500000,CB,CB,Serbia,https://cdn.sofifa.net/players/205/362/23_60.png,29,188,83,1770,363,RCD Mallorca,21000,7700000,SUB,2023,2,2022,-,Left,2,2,2,-,-,-,-,Low,High,62,36,62,55,74,74,50,30,70,68,32,43,72,65,68,63,59,65,64,76,60,44,81,61,79,41,77,75,30,55,52,80,74,74,76,11,16,11,15,13,53,52,51,51,51,52,57,57,63,57,68,73,68,71,74,71,22
F. Woodman,Freddie Woodman,74,79,4900000,GK,GK,England,https://cdn.sofifa.net/players/222/514/23_60.png,25,188,83,1158,408,Preston North End,21000,9700000,GK,2025,1,2022,-,Right,2,1,1,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,Medium,Medium,75,69,70,75,47,72,14,16,20,26,16,17,15,13,26,22,45,50,38,72,37,53,48,30,46,14,32,26,12,38,20,54,10,21,20,75,69,70,72,75,32,27,29,29,29,27,30,30,31,30,30,30,30,30,29,30,75
M. Havel,Milan Havel,74,74,4099999,"LB,RB",LB,Czech Republic,https://cdn.sofifa.net/players/244/787/23_60.png,27,183,77,1879,398,FC Viktoria Plzeň,950,9000000,LB,2024,24,2017,-,Right,3,2,1,Czech Republic,https://cdn.sofifa.net/flags/cz.png,SUB,17,High,High,67,51,66,68,72,74,74,52,74,69,53,67,51,45,64,69,68,67,70,73,69,51,77,78,71,47,77,74,66,65,44,69,69,72,71,10,9,9,13,11,65,66,65,65,65,66,68,70,70,70,74,73,74,74,74,74,20
L. Vangioni,Leonel Vangioni,74,74,1300000,"LB,LWB",LB,Argentina,https://cdn.sofifa.net/players/212/541/23_60.png,35,181,68,2007,423,Newell's Old Boys,9000,2000000,LB,2022,21,2022,-,Left,3,3,1,-,https://cdn.sofifa.net/flags/ar.png,-,-,High,Medium,77,63,70,70,71,72,74,51,55,71,61,71,71,62,69,69,80,75,71,72,67,78,74,69,69,73,85,74,68,65,69,68,71,74,74,9,9,9,11,7,68,69,68,68,68,69,71,72,71,72,74,74,74,74,74,74,18
A. Tuanzebe,Axel Tuanzebe,74,78,5500000,CB,CB,England,https://cdn.sofifa.net/players/231/485/23_60.png,24,185,75,1795,393,Manchester United,60000,10900000,RES,2023,38,2015,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,Medium,Medium,81,36,63,68,73,72,52,26,71,75,41,66,45,37,70,70,74,87,66,74,66,53,74,63,75,34,76,73,52,61,50,77,73,75,73,5,8,5,13,12,60,62,61,61,61,62,65,67,68,67,72,74,72,73,76,73,18
P. Musa,Petar Musa,74,81,8500000,ST,ST,Croatia,https://cdn.sofifa.net/players/244/797/23_60.png,24,190,82,1863,406,SL Benfica,12000,18700000,SUB,2027,33,2022,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/hr.png,-,-,High,High,83,72,61,71,37,82,51,74,75,67,72,72,61,62,57,73,83,83,65,74,51,73,80,82,86,67,73,31,73,65,64,72,34,32,31,15,11,10,10,6,76,71,73,73,73,71,72,73,67,73,58,57,58,56,55,56,19
Álex Centelles,Alejandro Centelles Plaza,74,81,8000000,LB,LWB,Spain,https://cdn.sofifa.net/players/241/470/23_60.png,22,185,73,1881,411,Unión Deportiva Almería,17000,19200000,SUB,2026,20,2020,-,Left,3,3,1,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,Medium,78,52,67,71,68,75,72,49,65,70,51,70,70,45,69,75,76,79,66,74,55,64,61,86,72,45,71,68,59,62,48,72,66,72,68,14,9,12,10,8,66,67,66,66,66,67,69,72,71,72,75,73,75,74,71,74,19
O. Solet,Oumar Solet,74,83,9000000,CB,CB,France,https://cdn.sofifa.net/players/242/238/23_60.png,22,192,81,1784,403,FC Red Bull Salzburg,19000,15300000,CB,2025,22,2020,-,Right,4,2,1,-,https://cdn.sofifa.net/flags/fr.png,-,-,Medium,High,83,43,57,67,72,81,31,35,68,74,33,69,35,34,71,68,80,86,68,69,36,64,80,73,89,39,72,74,59,56,42,69,70,74,70,12,14,10,14,15,64,61,63,63,63,61,66,66,69,66,70,74,70,71,76,71,22
M. Mittelstädt,Maximilian Mittelstädt,74,77,5000000,"LB,LM",LB,Germany,https://cdn.sofifa.net/players/227/647/23_60.png,25,180,71,1952,418,Hertha BSC,22000,9400000,SUB,2023,17,2015,-,Left,3,3,1,-,https://cdn.sofifa.net/flags/de.png,-,-,High,Medium,77,61,68,74,71,67,74,56,66,70,43,74,73,44,69,73,79,75,77,70,78,73,82,74,63,69,64,75,64,60,42,65,68,74,67,13,10,7,13,13,69,70,69,69,69,70,71,72,71,72,74,72,74,74,72,74,20
J. Worrall,Joe Worrall,74,80,6000000,CB,CB,England,https://cdn.sofifa.net/players/230/708/23_60.png,25,190,90,1513,329,Nottingham Forest,42000,12600000,CB,2024,4,2015,-,Right,2,2,1,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,Medium,High,57,25,51,45,75,76,39,20,75,68,30,35,27,29,68,54,52,61,43,70,46,34,76,71,81,22,70,73,27,30,35,63,76,75,76,11,11,5,9,14,47,43,43,43,43,43,47,50,56,50,66,71,66,69,76,69,19
S. Ascacíbar,Santiago Ascacíbar,74,78,5500000,"CDM,CM",CDM,Argentina,https://cdn.sofifa.net/players/232/244/23_60.png,25,168,70,1844,392,US Cremonese,22000,0,SUB,2023,8,2020,TRUE,Right,3,2,1,-,https://cdn.sofifa.net/flags/ar.png,-,-,Medium,High,69,47,61,69,74,72,51,39,47,69,47,65,47,41,65,67,74,64,81,73,88,53,83,85,57,64,90,79,31,61,48,71,76,78,77,6,10,5,14,9,55,60,58,58,58,60,64,64,68,64,74,75,74,74,74,74,18
B. Ramselaar,Bart Ramselaar,74,75,5000000,CAM,CAM,Netherlands,https://cdn.sofifa.net/players/227/633/23_60.png,26,178,74,1945,419,FC Utrecht,15000,7900000,RES,2023,23,2019,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/nl.png,-,-,High,Medium,84,71,69,76,52,67,63,69,54,74,67,75,72,55,71,75,85,83,82,73,76,73,58,75,64,75,66,48,72,67,63,72,57,53,44,7,10,15,12,12,73,74,73,73,73,74,75,75,72,75,67,66,67,64,60,64,19
Ki Sung Yueng,Sung Yueng Ki,74,74,2100000,"CDM,CM",CM,Korea Republic,https://cdn.sofifa.net/players/180/283/23_60.png,33,189,75,1967,402,FC Seoul,8000,2600000,CDM,2023,6,2020,-,Right,5,3,2,-,-,-,-,Medium,High,46,67,78,69,66,76,71,59,61,79,61,67,76,76,83,77,49,43,59,65,64,80,65,78,77,74,74,69,64,79,74,72,66,68,60,14,9,7,9,10,68,67,68,68,68,67,72,71,74,71,70,74,70,68,70,68,18
G. Haraguchi,Genki Haraguchi,74,74,3500000,"CAM,CM",CAM,Japan,https://cdn.sofifa.net/players/217/648/23_60.png,31,178,72,1835,386,1. FC Union Berlin,26000,6300000,SUB,2027,24,2021,-,Right,4,4,2,-,https://cdn.sofifa.net/flags/jp.png,-,-,High,High,76,65,70,78,44,53,65,69,51,75,56,78,72,54,66,77,79,73,87,72,84,57,65,87,41,68,39,37,64,73,56,70,46,46,42,16,11,11,11,7,68,73,72,72,72,73,74,74,72,74,65,61,65,61,51,61,20
P. Hrošovský,Patrik Hrošovský,74,74,4000000,CM,CM,Slovakia,https://cdn.sofifa.net/players/244/791/23_60.png,30,173,70,2048,423,KRC Genk,15000,6000000,CM,2024,17,2019,-,Right,3,3,1,-,-,-,-,High,High,67,71,74,75,70,66,72,68,57,78,75,74,68,68,76,76,71,64,76,72,82,75,76,81,57,74,68,72,66,69,66,75,71,73,69,13,14,9,6,12,71,72,71,71,71,72,74,74,74,74,74,74,74,74,71,74,20
M. Rashica,Milot Rashica,74,75,5000000,"LM,RM,CF",LM,Kosovo,https://cdn.sofifa.net/players/229/167/23_60.png,26,177,73,1936,411,Galatasaray SK,37000,0,SUB,2023,26,2021,TRUE,Right,4,4,1,-,-,-,-,High,Low,81,74,68,77,47,64,72,70,50,68,74,76,78,69,51,74,88,75,90,71,82,85,47,76,60,73,63,52,70,72,74,74,52,40,36,7,14,7,14,6,73,74,73,73,73,74,74,75,69,75,65,61,65,62,55,62,19
E. Wahi,Elye Wahi,74,84,9000000,"ST,LM",ST,France,https://cdn.sofifa.net/players/260/407/23_60.png,19,184,74,1821,391,Montpellier Hérault SC,14000,18900000,ST,2025,21,2020,-,Right,4,4,1,-,https://cdn.sofifa.net/flags/fr.png,-,-,High,Medium,82,73,64,76,31,65,61,76,64,70,69,77,63,58,57,76,84,81,79,72,71,73,76,61,69,69,57,28,74,64,64,70,25,29,23,13,7,5,12,14,76,74,74,74,74,74,74,74,67,74,56,53,56,53,48,53,20
J. Tanganga,Japhet Tanganga,74,82,9000000,"RWB,RB,CB",CB,England,https://cdn.sofifa.net/players/236/600/23_60.png,23,180,73,1815,396,Tottenham Hotspur,49000,18900000,SUB,2025,25,2017,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,Medium,High,75,33,62,71,75,80,64,28,70,71,36,72,54,37,56,69,72,78,68,74,68,52,87,66,83,19,87,74,47,59,45,71,75,76,75,11,9,12,7,14,59,62,60,60,60,62,63,67,65,67,74,74,74,74,78,74,19
M. Coda,Massimo Coda,74,74,2700000,ST,ST,Italy,https://cdn.sofifa.net/players/185/144/23_60.png,33,184,73,1702,353,Genoa,6000,4300000,ST,2024,9,2022,-,Right,4,3,1,-,https://cdn.sofifa.net/flags/it.png,-,-,High,Low,60,75,58,71,25,64,48,79,75,65,63,71,71,66,42,75,66,55,59,73,66,77,61,58,73,70,51,26,79,60,63,75,18,17,16,15,10,7,11,16,74,68,72,72,72,68,70,68,62,68,48,47,48,45,44,45,21
F. Selemani,Faïz Selemani,74,74,4200000,"LM,CAM",LM,Comoros,https://cdn.sofifa.net/players/230/969/23_60.png,28,182,65,1951,418,KV Kortrijk,15000,6300000,SUB,2025,10,2019,-,Right,3,4,1,-,-,-,-,High,Medium,83,73,70,75,56,61,71,74,48,69,67,76,68,72,67,75,82,84,83,65,72,73,66,70,56,72,59,58,67,72,74,72,54,60,55,7,5,15,10,5,71,74,72,72,72,74,74,74,71,74,69,66,69,67,61,67,16
Vinicius Cardenha,Vinicius Lúcio Cardenha Caeiro,74,74,3600000,"RB,CB",RB,Brazil,https://cdn.sofifa.net/players/230/199/23_60.png,30,179,73,1817,391,Fluminense,19000,6800000,CB,2025,2,2022,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/br.png,-,-,Medium,High,73,49,60,68,71,70,74,52,67,68,43,71,54,46,52,62,65,79,70,74,68,46,71,79,65,42,72,71,42,45,67,73,67,75,71,16,13,10,12,8,61,63,59,59,59,63,62,66,63,66,74,69,74,74,72,74,21
Ferro,Francisco Reis Ferreira,74,78,5500000,CB,CB,Portugal,https://cdn.sofifa.net/players/242/236/23_60.png,25,191,78,1652,360,Vitesse,11000,0,SUB,2023,5,2016,TRUE,Right,2,2,1,-,https://cdn.sofifa.net/flags/pt.png,-,-,Medium,Medium,52,43,55,60,75,75,30,26,76,70,28,61,33,27,72,64,54,50,35,74,48,81,67,67,79,45,77,75,52,51,38,76,73,76,74,8,7,9,13,12,60,53,57,57,57,53,59,58,66,58,66,74,66,68,76,68,19
Enzo Marteiro,Enzo Wellington Marteiro Santoso,74,74,2800000,GK,GK,Brazil,https://cdn.sofifa.net/players/230/191/23_60.png,30,191,80,1195,411,Flamengo,23000,5000000,SUB,2025,24,2022,-,Right,3,1,1,-,https://cdn.sofifa.net/flags/br.png,-,-,Medium,Medium,82,73,73,69,40,74,16,14,15,31,13,13,14,14,30,19,41,38,39,66,47,55,79,30,59,13,23,13,11,70,18,47,14,15,14,82,73,73,74,69,30,27,29,29,29,27,34,31,34,31,27,30,27,26,27,26,74
C. Benteke,Christian Benteke,74,74,3600000,ST,ST,Belgium,https://cdn.sofifa.net/players/184/111/23_60.png,31,190,83,1754,360,D.C. United,9000,5400000,ST,2024,20,2022,-,Right,2,2,2,-,https://cdn.sofifa.net/flags/be.png,-,-,Medium,Low,50,74,62,68,32,74,58,74,85,66,73,65,62,64,51,77,50,50,59,76,43,81,87,55,87,68,62,29,77,69,71,71,28,25,18,14,5,12,8,5,74,67,71,71,71,67,70,67,65,67,50,52,50,48,51,48,18
I. Radovanović,Ivan Radovanović,73,73,1500000,"CB,CDM",CB,Serbia,https://cdn.sofifa.net/players/186/589/23_60.png,33,187,80,1857,386,US Salernitana 1919,20000,2700000,SUB,2023,16,2022,-,Right,2,2,2,-,-,-,-,Medium,High,47,60,68,66,74,71,62,42,71,72,56,65,65,62,70,71,39,53,54,71,55,84,70,55,76,77,79,76,61,68,58,72,72,76,70,5,6,6,5,5,65,62,64,64,64,62,67,64,71,64,69,73,69,69,73,69,15
N. Vallys,Nicolai Vallys,73,74,3600000,"LM,CAM",LM,Denmark,https://cdn.sofifa.net/players/251/356/23_60.png,25,189,82,1836,401,Brøndby IF,13000,5000000,CAM,2026,7,2022,-,Right,4,3,1,-,https://cdn.sofifa.net/flags/dk.png,-,-,High,Medium,81,66,69,72,38,75,69,70,61,70,57,71,56,53,66,71,82,81,78,67,79,65,63,90,73,60,63,35,68,75,56,66,35,35,35,12,8,8,10,14,71,71,70,70,70,71,73,74,69,74,62,59,62,59,52,59,19
T. Delaine,Thomas Delaine,73,73,2600000,"RWB,LWB",RWB,France,https://cdn.sofifa.net/players/203/741/23_60.png,30,180,71,1900,413,RC Strasbourg Alsace,19000,4900000,RWB,2025,3,2022,-,Left,5,3,1,-,https://cdn.sofifa.net/flags/fr.png,-,-,High,Medium,83,50,69,72,67,72,70,45,64,72,35,74,68,45,69,71,81,84,77,70,65,62,63,75,70,51,75,66,70,71,45,67,66,68,68,15,11,14,10,10,66,70,68,68,68,70,71,73,72,73,73,72,73,73,70,73,20
Jubal,Jubal Rocha Mendes Júnior,73,74,2900000,CB,CB,Brazil,https://cdn.sofifa.net/players/217/565/23_60.png,28,190,80,1548,331,AJ Auxerre,15000,6000000,CB,2023,4,2020,-,Right,2,2,1,-,https://cdn.sofifa.net/flags/br.png,-,-,Medium,Medium,51,34,45,55,73,73,29,33,73,66,30,51,36,27,43,60,45,55,54,71,53,45,90,58,78,25,77,72,30,32,46,57,74,72,71,12,12,11,9,8,52,47,48,48,48,47,51,51,55,51,63,67,63,65,74,65,19
Henrique,Henrique Silva Milagres,73,73,2800000,LB,LB,Brazil,https://cdn.sofifa.net/players/217/821/23_60.png,28,173,72,1796,391,Olympique Lyonnais,41000,5300000,SUB,2024,12,2021,-,Left,3,3,1,-,https://cdn.sofifa.net/flags/br.png,-,-,High,Medium,77,45,63,71,70,65,65,47,54,71,30,70,64,37,66,72,78,77,71,70,77,58,58,74,59,30,69,72,61,52,39,69,70,74,72,10,7,14,13,15,62,65,63,63,63,65,66,69,68,69,73,72,73,73,70,73,20
Jony,Jonathan Rodríguez Menéndez,73,73,2900000,LM,LM,Spain,https://cdn.sofifa.net/players/222/943/23_60.png,30,179,71,1928,413,Real Sporting de Gijón,34000,0,SUB,2023,9,2021,TRUE,Left,3,3,1,-,https://cdn.sofifa.net/flags/es.png,-,-,High,Medium,83,68,72,73,52,65,74,69,44,71,63,72,81,78,71,70,81,85,85,70,76,69,33,69,69,70,60,56,69,70,59,73,55,51,46,11,16,13,13,9,70,73,71,71,71,73,73,73,71,73,67,65,67,65,58,65,21
I. Zabarnyi,Illia Zabarnyi,73,83,6000000,CB,CB,Ukraine,https://cdn.sofifa.net/players/258/781/23_60.png,19,186,81,1685,363,Dynamo Kyiv,500,14400000,CB,2025,25,2019,-,Right,2,2,1,Ukraine,https://cdn.sofifa.net/flags/ua.png,CB,13,Medium,Medium,66,36,56,58,74,73,56,33,74,72,29,52,34,38,67,59,63,68,66,73,68,45,77,74,75,34,66,74,35,32,40,69,75,75,72,14,11,10,11,13,55,53,52,52,52,53,55,59,61,59,71,72,71,72,75,72,21
L. Garritano,Luca Garritano,73,73,3100000,"CAM,CM,LW",CAM,Italy,https://cdn.sofifa.net/players/212/446/23_60.png,28,172,67,1986,418,Frosinone,4000,4800000,CAM,2024,16,2021,-,Right,3,4,1,-,https://cdn.sofifa.net/flags/it.png,-,-,High,Low,89,70,68,74,55,62,64,71,54,70,66,71,68,68,63,72,90,88,91,72,90,69,75,81,55,69,53,56,71,73,68,71,58,54,48,13,14,9,8,14,72,73,73,73,73,73,73,73,71,73,68,65,68,67,60,67,21
Manu Vallejo,Manuel Vallejo Galván,73,78,4500000,"ST,LM,CAM",ST,Spain,https://cdn.sofifa.net/players/241/686/23_60.png,25,167,72,1907,395,Girona FC,21000,10200000,SUB,2025,25,2022,-,Right,4,3,1,-,https://cdn.sofifa.net/flags/es.png,-,-,High,Medium,74,74,68,75,43,61,68,73,69,71,66,74,70,75,57,73,73,75,78,75,87,77,68,72,63,72,41,25,77,69,76,69,41,47,45,7,14,8,11,10,75,73,74,74,74,73,74,74,69,74,61,57,61,59,53,59,19
R. Kouamé,Rominigue Kouamé,73,77,4200000,"CM,CDM",CM,Mali,https://cdn.sofifa.net/players/239/894/23_60.png,25,177,68,1901,413,ESTAC Troyes,15000,8700000,CM,2024,6,2021,-,Left,1,3,1,-,-,-,-,Medium,High,69,54,69,74,70,77,62,48,65,75,38,74,54,40,73,74,71,67,74,75,72,65,71,87,75,58,73,72,66,72,50,73,70,70,68,8,6,6,11,11,67,68,68,68,68,68,72,73,75,73,74,75,74,73,73,73,18
R. Ripart,Renaud Ripart,73,73,3000000,"RM,LM,ST",ST,France,https://cdn.sofifa.net/players/209/430/23_60.png,29,181,73,2020,429,ESTAC Troyes,17000,6000000,LM,2025,20,2021,-,Right,3,3,2,-,https://cdn.sofifa.net/flags/fr.png,-,-,High,High,69,74,68,71,64,83,68,73,68,70,73,72,65,56,66,73,66,72,67,74,66,80,72,90,85,73,73,63,75,68,72,69,64,64,57,10,11,10,13,11,73,71,72,72,72,71,73,73,73,73,71,71,71,70,70,70,20
T. Strobl,Tobias Strobl,73,73,2000000,"CDM,CB",CDM,Germany,https://cdn.sofifa.net/players/207/894/23_60.png,32,188,77,1713,353,FC Augsburg,20000,3600000,RES,2023,5,2020,-,Right,3,2,2,-,https://cdn.sofifa.net/flags/de.png,-,-,Medium,Medium,34,49,65,57,73,75,51,30,69,72,35,57,44,45,74,62,34,34,34,74,42,79,74,69,78,62,77,75,55,68,47,73,76,71,70,11,8,8,16,12,59,54,58,58,58,54,61,59,69,59,66,73,66,67,73,67,20
R. Delgado,Rafael Delgado,73,73,2000000,"CB,LB",CB,Argentina,https://cdn.sofifa.net/players/216/036/23_60.png,32,178,70,2105,442,Club Atlético Colón,11000,3000000,SUB,2022,40,2020,-,Left,3,3,1,-,https://cdn.sofifa.net/flags/ar.png,-,-,High,Medium,82,65,70,74,72,79,68,55,71,69,57,72,83,68,68,73,81,82,79,73,79,84,79,80,77,68,84,72,73,74,68,75,70,73,71,9,13,7,14,11,73,71,72,72,72,71,73,73,73,73,73,73,73,73,73,73,20
S. Mustafi,Shkodran Mustafi,73,73,2500000,CB,CB,Germany,https://cdn.sofifa.net/players/192/227/23_60.png,30,184,83,1819,381,Levante Unión Deportiva,10000,4000000,SUB,2023,5,2021,-,Right,2,2,3,-,https://cdn.sofifa.net/flags/de.png,-,-,Medium,Medium,53,57,62,59,73,77,53,58,74,70,51,53,55,47,69,63,50,55,63,68,66,66,80,64,80,52,83,75,49,55,54,62,73,72,70,11,9,15,10,6,64,57,59,59,59,57,62,62,66,62,68,73,68,70,73,70,19
S. Peña,Sergio Peña,73,76,4000000,"CAM,CM",CAM,Peru,https://cdn.sofifa.net/players/236/259/23_60.png,26,178,70,1929,406,Malmö FF,8000,5500000,CM,2024,8,2021,-,Right,3,4,1,-,https://cdn.sofifa.net/flags/pe.png,-,-,Medium,Medium,66,68,76,75,55,66,80,64,57,74,68,76,73,71,77,77,67,65,69,68,79,76,45,79,69,70,49,62,68,78,71,77,55,52,44,5,12,13,10,6,71,72,71,71,71,72,75,75,75,75,68,68,68,65,60,65,17
G. Giakoumakis,Georgios Giakoumakis,73,74,3600000,ST,ST,Greece,https://cdn.sofifa.net/players/239/842/23_60.png,27,185,84,1723,364,Celtic,43000,6800000,SUB,2026,7,2021,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/gr.png,-,-,Medium,Medium,70,73,50,66,28,77,36,75,77,62,75,62,57,45,37,70,66,73,64,74,64,78,82,69,84,62,70,17,78,52,73,70,27,24,19,9,8,14,7,13,74,65,69,69,69,65,67,65,59,65,48,48,48,47,48,47,19
A. Weimann,Andreas Weimann,73,73,3000000,"ST,CAM,CM",ST,Austria,https://cdn.sofifa.net/players/194/017/23_60.png,30,178,76,1915,407,Bristol City,30000,5700000,CAM,2024,14,2018,-,Right,3,3,1,Austria,https://cdn.sofifa.net/flags/at.png,SUB,10,High,High,82,72,65,71,45,72,63,74,69,67,69,71,68,64,55,71,83,81,77,73,68,74,60,87,65,68,74,52,76,70,67,65,40,41,34,11,9,16,12,6,73,72,73,73,73,72,73,73,69,73,64,61,64,61,57,61,19
D. Randolph,Darren Randolph,73,73,350000,GK,GK,Republic of Ireland,https://cdn.sofifa.net/players/169/697/23_60.png,35,188,78,1189,399,West Ham United,22000,665000,SUB,2023,35,2020,-,Right,3,1,1,-,-,-,-,Medium,Medium,75,71,66,74,42,71,11,14,16,33,16,14,15,14,34,33,41,44,50,72,43,50,61,34,57,14,29,18,11,35,30,36,15,14,14,75,71,66,71,74,32,28,30,30,30,28,32,31,33,31,29,32,29,29,29,29,73
S. Davis,Sean Davis,73,73,2600000,"CDM,CM",CDM,United States,https://cdn.sofifa.net/players/226/273/23_60.png,29,183,75,1942,411,Nashville SC,7000,3900000,CM,2024,54,2022,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/us.png,-,-,Medium,High,68,58,68,69,70,78,60,54,66,73,56,65,72,73,69,75,67,68,67,70,69,65,76,91,76,59,67,68,60,63,58,71,72,72,64,8,9,9,9,12,67,65,66,66,66,65,69,70,72,70,73,73,73,72,72,72,18
J. Broun,Jorge Broun,73,73,350000,GK,GK,Argentina,https://cdn.sofifa.net/players/216/033/23_60.png,36,190,92,1180,400,Rosario Central,7000,525000,GK,2022,19,2021,-,Right,3,1,1,-,https://cdn.sofifa.net/flags/ar.png,-,-,Medium,Medium,70,67,69,75,43,76,14,17,16,24,17,15,14,12,22,16,41,45,30,72,44,52,68,30,79,18,18,17,18,38,23,27,30,14,19,70,67,69,76,75,33,26,28,28,28,26,29,29,28,29,28,29,28,29,32,29,73
M. Dupé,Maxime Dupé,73,75,2500000,GK,GK,France,https://cdn.sofifa.net/players/204/513/23_60.png,29,188,88,1115,406,Toulouse Football Club,12000,5200000,GK,2023,30,2020,-,Right,2,1,1,-,https://cdn.sofifa.net/flags/fr.png,-,-,Medium,Medium,74,72,69,75,46,70,10,10,13,34,10,11,12,11,29,22,48,42,35,67,39,52,54,21,71,11,35,23,11,35,18,58,9,11,11,74,72,69,70,75,30,25,27,27,27,25,29,28,30,28,26,30,26,26,28,26,74
S. Caulker,Steven Caulker,73,73,2500000,CB,CB,Sierra Leone,https://cdn.sofifa.net/players/193/504/23_60.png,30,191,76,1620,349,Fatih Karagümrük S.K.,19000,5000000,SUB,2024,44,2022,-,Right,2,2,2,-,-,-,-,Medium,High,55,30,56,53,74,81,45,28,73,67,17,40,59,25,65,63,54,56,63,66,51,42,76,77,88,23,70,69,25,48,50,75,78,74,70,14,15,7,7,15,50,48,47,47,47,48,52,54,60,54,67,71,67,69,73,69,20
C. Tosun,Cenk Tosun,73,73,2600000,ST,ST,Turkey,https://cdn.sofifa.net/players/192/991/23_60.png,31,183,78,1849,374,Beşiktaş JK,39000,5200000,SUB,2023,9,2022,-,Right,4,3,2,-,https://cdn.sofifa.net/flags/tr.png,-,-,High,Low,59,75,65,71,36,68,64,75,77,69,71,71,72,73,60,73,64,55,64,73,66,78,80,51,73,72,75,31,75,61,85,74,33,34,15,12,14,12,12,9,73,69,71,71,71,69,71,69,66,69,52,54,52,50,52,50,20
R. Zerrouki,Ramiz Zerrouki,73,78,4600000,"CM,CDM",CM,Algeria,https://cdn.sofifa.net/players/252/383/23_60.png,24,183,72,1983,424,FC Twente,10000,7200000,CM,2024,8,2019,-,Right,3,3,1,-,-,-,-,Medium,High,73,64,69,73,66,79,58,58,47,75,57,72,64,67,75,75,72,74,75,71,75,73,70,84,76,71,80,67,68,69,57,68,68,68,68,6,11,14,12,6,69,70,70,70,70,70,73,73,75,73,72,74,72,71,70,71,18
M. Cáceres,Martín Cáceres,73,73,800000,"CB,RB,RM",CB,Uruguay,https://cdn.sofifa.net/players/182/495/23_60.png,35,181,78,1866,396,LA Galaxy,5000,1200000,RB,2022,22,2022,-,Right,3,3,2,-,https://cdn.sofifa.net/flags/uy.png,-,-,Medium,High,68,51,62,68,73,74,66,37,73,64,65,65,68,41,64,67,66,69,71,69,76,69,91,69,73,59,78,74,50,58,50,78,73,74,72,2,3,4,2,4,62,61,60,60,60,61,63,65,66,65,71,72,71,72,73,72,12
